time UTC,power generated (MW)
1/01/2018 0:30,0
1/01/2018 1:30,0
1/01/2018 2:30,0
1/01/2018 3:30,0
1/01/2018 4:30,0
1/01/2018 5:30,0
1/01/2018 6:30,47.01233292
1/01/2018 7:30,89.65299797
1/01/2018 8:30,88.01966667
1/01/2018 9:30,88.79366557
1/01/2018 10:30,65.46533394
1/01/2018 11:30,47.38599968
1/01/2018 12:30,32.19366709
1/01/2018 13:30,28.44166629
1/01/2018 14:30,33.23300044
1/01/2018 15:30,22.87866592
1/01/2018 16:30,12.99733416
1/01/2018 17:30,2.059666991
1/01/2018 18:30,0
1/01/2018 19:30,3.325000167
1/01/2018 20:30,0.513333678
1/01/2018 21:30,0
1/01/2018 22:30,0
1/01/2018 23:30,0
2/01/2018 0:30,0
2/01/2018 1:30,0
2/01/2018 2:30,7.307332993
2/01/2018 3:30,51.99166552
2/01/2018 4:30,71.68899854
2/01/2018 5:30,79.84333229
2/01/2018 6:30,61.06833331
2/01/2018 7:30,55.71466637
2/01/2018 8:30,54.19766553
2/01/2018 9:30,57.02866618
2/01/2018 10:30,28.56933276
2/01/2018 11:30,56.83166695
2/01/2018 12:30,59.2123305
2/01/2018 13:30,54.7406648
2/01/2018 14:30,79.42499924
2/01/2018 15:30,56.2253329
2/01/2018 16:30,30.18966611
2/01/2018 17:30,40.69166629
2/01/2018 18:30,8.340334574
2/01/2018 19:30,11.31699936
2/01/2018 20:30,11.23533444
2/01/2018 21:30,5.64233464
2/01/2018 22:30,1.059333165
2/01/2018 23:30,0
3/01/2018 0:30,0
3/01/2018 1:30,0
3/01/2018 2:30,0
3/01/2018 3:30,0
3/01/2018 4:30,5.335666021
3/01/2018 5:30,72.82266617
3/01/2018 6:30,119.2370021
3/01/2018 7:30,130.5223312
3/01/2018 8:30,112.580665
3/01/2018 9:30,87.91599846
3/01/2018 10:30,71.7943325
3/01/2018 11:30,67.93699964
3/01/2018 12:30,44.48866717
3/01/2018 13:30,34.61900075
3/01/2018 14:30,22.96299863
3/01/2018 15:30,10.07600021
3/01/2018 16:30,3.439666152
3/01/2018 17:30,4.996999661
3/01/2018 18:30,0
3/01/2018 19:30,0
3/01/2018 20:30,0
3/01/2018 21:30,0
3/01/2018 22:30,0
3/01/2018 23:30,0
4/01/2018 0:30,0
4/01/2018 1:30,0
4/01/2018 2:30,0
4/01/2018 3:30,0
4/01/2018 4:30,0
4/01/2018 5:30,0
4/01/2018 6:30,16.63999943
4/01/2018 7:30,70.43133227
4/01/2018 8:30,76.37299983
4/01/2018 9:30,52.11699867
4/01/2018 10:30,34.89133326
4/01/2018 11:30,31.55999947
4/01/2018 12:30,20.29366684
4/01/2018 13:30,12.52266685
4/01/2018 14:30,6.057333112
4/01/2018 15:30,0
4/01/2018 16:30,0
4/01/2018 17:30,0
4/01/2018 18:30,0
4/01/2018 19:30,0
4/01/2018 20:30,0
4/01/2018 21:30,0
4/01/2018 22:30,0
4/01/2018 23:30,0
5/01/2018 0:30,0
5/01/2018 1:30,0
5/01/2018 2:30,15.68400065
5/01/2018 3:30,32.79600016
5/01/2018 4:30,26.46533438
5/01/2018 5:30,43.86999957
5/01/2018 6:30,49.27233505
5/01/2018 7:30,29.64433225
5/01/2018 8:30,56.54299927
5/01/2018 9:30,69.32066727
5/01/2018 10:30,68.61133321
5/01/2018 11:30,49.06733322
5/01/2018 12:30,37.1873347
5/01/2018 13:30,24.70033455
5/01/2018 14:30,11.43500078
5/01/2018 15:30,0
5/01/2018 16:30,0
5/01/2018 17:30,0
5/01/2018 18:30,0
5/01/2018 19:30,0
5/01/2018 20:30,0
5/01/2018 21:30,0
5/01/2018 22:30,0
5/01/2018 23:30,0.1583335
6/01/2018 0:30,25.11266573
6/01/2018 1:30,85.9393336
6/01/2018 2:30,105.5129999
6/01/2018 3:30,99.13366636
6/01/2018 4:30,98.7363313
6/01/2018 5:30,104.4226659
6/01/2018 6:30,94.4553318
6/01/2018 7:30,82.64000066
6/01/2018 8:30,70.70199903
6/01/2018 9:30,35.31433296
6/01/2018 10:30,22.52333387
6/01/2018 11:30,15.3633333
6/01/2018 12:30,4.330999374
6/01/2018 13:30,0
6/01/2018 14:30,12.53300033
6/01/2018 15:30,17.83000183
6/01/2018 16:30,6.275666535
6/01/2018 17:30,7.002000789
6/01/2018 18:30,13.42399903
6/01/2018 19:30,7.355999549
6/01/2018 20:30,0.573333065
6/01/2018 21:30,3.719333649
6/01/2018 22:30,49.55000051
6/01/2018 23:30,97.94433212
7/01/2018 0:30,105.9336656
7/01/2018 1:30,86.90399996
7/01/2018 2:30,84.61800067
7/01/2018 3:30,82.42333221
7/01/2018 4:30,69.29566574
7/01/2018 5:30,68.53433228
7/01/2018 6:30,49.92133268
7/01/2018 7:30,49.02066485
7/01/2018 8:30,45.22533417
7/01/2018 9:30,40.86199951
7/01/2018 10:30,45.75166702
7/01/2018 11:30,60.0803318
7/01/2018 12:30,28.52066739
7/01/2018 13:30,29.67533429
7/01/2018 14:30,17.91233253
7/01/2018 15:30,78.95866712
7/01/2018 16:30,40.41366641
7/01/2018 17:30,17.63399959
7/01/2018 18:30,58.94666608
7/01/2018 19:30,40.70766767
7/01/2018 20:30,19.29466561
7/01/2018 21:30,0.606000264
7/01/2018 22:30,0
7/01/2018 23:30,0
8/01/2018 0:30,22.04366557
8/01/2018 1:30,61.94766808
8/01/2018 2:30,87.2393322
8/01/2018 3:30,67.75700061
8/01/2018 4:30,75.06500053
8/01/2018 5:30,108.6706651
8/01/2018 6:30,120.4609992
8/01/2018 7:30,31.76899914
8/01/2018 8:30,9.748666753
