time UTC,u_10,v_10
1/01/2018 0:30,-0.625,-2.375
1/01/2018 1:30,-0.125,-2.625
1/01/2018 2:30,0.375,-2.75
1/01/2018 3:30,0.625,-2.625
1/01/2018 4:30,1,-2.25
1/01/2018 5:30,1.625,-1.75
1/01/2018 6:30,-2,-2.25
1/01/2018 7:30,-0.875,5.625
1/01/2018 8:30,-1.125,5.75
1/01/2018 9:30,-0.625,5.125
1/01/2018 10:30,0,4.625
1/01/2018 11:30,-0.5,4
1/01/2018 12:30,-0.375,3.625
1/01/2018 13:30,-0.375,3.25
1/01/2018 14:30,-0.5,2.875
1/01/2018 15:30,-0.625,2.125
1/01/2018 16:30,-1.125,1.25
1/01/2018 17:30,-0.875,1
1/01/2018 18:30,-0.375,1.25
1/01/2018 19:30,-0.375,2
1/01/2018 20:30,-0.25,2.625
1/01/2018 21:30,0.25,3.125
1/01/2018 22:30,0.875,2.5
1/01/2018 23:30,1.75,0.875
2/01/2018 0:30,2.375,-1.5
2/01/2018 1:30,2.25,-3.625
2/01/2018 2:30,2.125,-3.625
2/01/2018 3:30,2.875,-3.875
2/01/2018 4:30,2.625,-4.125
2/01/2018 5:30,0.625,-5.75
2/01/2018 6:30,0.625,-5.375
2/01/2018 7:30,1.5,-4.75
2/01/2018 8:30,0.875,-4.625
2/01/2018 9:30,0.125,-4.75
2/01/2018 10:30,-0.375,-4
2/01/2018 11:30,-1.375,-1.875
2/01/2018 12:30,-1.125,1.5
2/01/2018 13:30,-2,2.5
2/01/2018 14:30,-2.25,3
2/01/2018 15:30,-1.5,3.5
2/01/2018 16:30,-1.125,4
2/01/2018 17:30,-1.125,4
2/01/2018 18:30,-1,4.25
2/01/2018 19:30,-1.125,4
2/01/2018 20:30,-1.375,3.5
2/01/2018 21:30,-1.25,3.125
2/01/2018 22:30,-0.875,3
2/01/2018 23:30,0.125,3.25
3/01/2018 0:30,0.875,3.375
3/01/2018 1:30,2,2.625
3/01/2018 2:30,2.125,1
3/01/2018 3:30,1.5,0.375
3/01/2018 4:30,-0.75,2.125
3/01/2018 5:30,-1.5,6
3/01/2018 6:30,-1.625,7
3/01/2018 7:30,-1.625,6.5
3/01/2018 8:30,-1.875,6.125
3/01/2018 9:30,-1.625,5.375
3/01/2018 10:30,-1,5.375
3/01/2018 11:30,-0.75,5.125
3/01/2018 12:30,-0.75,4.75
3/01/2018 13:30,-1,4.25
3/01/2018 14:30,-1,3.875
3/01/2018 15:30,-1.125,3.5
3/01/2018 16:30,-0.875,3.25
3/01/2018 17:30,-0.75,2.375
3/01/2018 18:30,-0.25,2.25
3/01/2018 19:30,0,1.75
3/01/2018 20:30,0.375,1.75
3/01/2018 21:30,0.5,1.375
3/01/2018 22:30,0.5,0.75
3/01/2018 23:30,0.875,-0.25
4/01/2018 0:30,1.375,-0.5
4/01/2018 1:30,1.125,-2.125
4/01/2018 2:30,0.5,-2.625
4/01/2018 3:30,0,-3.125
4/01/2018 4:30,-0.375,-3
4/01/2018 5:30,-0.5,-2.125
4/01/2018 6:30,-1.5,-1.375
4/01/2018 7:30,-0.5,3.875
4/01/2018 8:30,-0.375,5.5
4/01/2018 9:30,-0.625,5
4/01/2018 10:30,-0.625,4.75
4/01/2018 11:30,0,4
4/01/2018 12:30,0,3
4/01/2018 13:30,-0.5,2.25
4/01/2018 14:30,-0.375,1.625
4/01/2018 15:30,-0.375,1.25
4/01/2018 16:30,-0.5,1.125
4/01/2018 17:30,-0.625,1.125
4/01/2018 18:30,-0.625,1.25
4/01/2018 19:30,-0.375,1
4/01/2018 20:30,-0.25,0.5
4/01/2018 21:30,0.625,0.125
4/01/2018 22:30,2.125,-0.375
4/01/2018 23:30,2.125,-2.25
5/01/2018 0:30,1.25,-3
5/01/2018 1:30,1,-3.625
5/01/2018 2:30,0.625,-4.5
5/01/2018 3:30,0.5,-5.25
5/01/2018 4:30,0.375,-5.875
5/01/2018 5:30,0.25,-5.875
5/01/2018 6:30,1.125,-4.625
5/01/2018 7:30,1,-3.75
5/01/2018 8:30,-2.5,-2
5/01/2018 9:30,-1.125,5.375
5/01/2018 10:30,-0.75,4.375
5/01/2018 11:30,-0.75,3.5
5/01/2018 12:30,-0.5,3.375
5/01/2018 13:30,-0.25,3
